date,Zoin,isPartial
2016-12-25,40,False
2017-01-01,25,False
2017-01-08,47,False
2017-01-15,35,False
2017-01-22,35,False
2017-01-29,34,False
2017-02-05,35,False
2017-02-12,46,False
2017-02-19,12,False
2017-02-26,40,False
2017-03-05,23,False
2017-03-12,34,False
2017-03-19,58,False
2017-03-26,6,False
2017-04-02,29,False
2017-04-09,42,False
2017-04-16,52,False
2017-04-23,52,False
2017-04-30,35,False
2017-05-07,23,False
2017-05-14,43,False
2017-05-21,50,False
2017-05-28,44,False
2017-06-04,0,False
2017-06-11,31,False
2017-06-18,54,False
2017-06-25,51,False
2017-07-02,44,False
2017-07-09,49,False
2017-07-16,25,False
2017-07-23,43,False
2017-07-30,36,False
2017-08-06,48,False
2017-08-13,48,False
2017-08-20,72,False
2017-08-27,30,False
2017-09-03,65,False
2017-09-10,64,False
2017-09-17,100,False
2017-09-24,47,False
2017-10-01,29,False
2017-10-08,82,False
2017-10-15,41,False
2017-10-22,69,False
2017-10-29,75,False
2017-11-05,51,False
2017-11-12,62,False
2017-11-19,39,False
2017-11-26,34,False
2017-12-03,34,False
2017-12-10,96,False
2017-12-17,64,True
