date,Dubstep,isPartial
2016-12-25,100,False
2017-01-01,86,False
2017-01-08,92,False
2017-01-15,95,False
2017-01-22,91,False
2017-01-29,91,False
2017-02-05,92,False
2017-02-12,93,False
2017-02-19,92,False
2017-02-26,91,False
2017-03-05,93,False
2017-03-12,85,False
2017-03-19,87,False
2017-03-26,90,False
2017-04-02,83,False
2017-04-09,84,False
2017-04-16,80,False
2017-04-23,79,False
2017-04-30,83,False
2017-05-07,79,False
2017-05-14,73,False
2017-05-21,73,False
2017-05-28,78,False
2017-06-04,71,False
2017-06-11,71,False
2017-06-18,68,False
2017-06-25,69,False
2017-07-02,68,False
2017-07-09,66,False
2017-07-16,67,False
2017-07-23,67,False
2017-07-30,67,False
2017-08-06,67,False
2017-08-13,66,False
2017-08-20,62,False
2017-08-27,65,False
2017-09-03,60,False
2017-09-10,63,False
2017-09-17,59,False
2017-09-24,61,False
2017-10-01,57,False
2017-10-08,59,False
2017-10-15,64,False
2017-10-22,60,False
2017-10-29,63,False
2017-11-05,62,False
2017-11-12,63,False
2017-11-19,52,False
2017-11-26,60,False
2017-12-03,64,False
2017-12-10,58,False
2017-12-17,63,True
