date,MADZAR,isPartial
2013-01-06,55,False
2013-01-13,39,False
2013-01-20,39,False
2013-01-27,34,False
2013-02-03,50,False
2013-02-10,22,False
2013-02-17,35,False
2013-02-24,52,False
2013-03-03,35,False
2013-03-10,27,False
2013-03-17,32,False
2013-03-24,54,False
2013-03-31,29,False
2013-04-07,39,False
2013-04-14,26,False
2013-04-21,24,False
2013-04-28,43,False
2013-05-05,35,False
2013-05-12,27,False
2013-05-19,38,False
2013-05-26,21,False
2013-06-02,24,False
2013-06-09,34,False
2013-06-16,24,False
2013-06-23,19,False
2013-06-30,29,False
2013-07-07,18,False
2013-07-14,32,False
2013-07-21,26,False
2013-07-28,35,False
2013-08-04,32,False
2013-08-11,36,False
2013-08-18,24,False
2013-08-25,30,False
2013-09-01,31,False
2013-09-08,26,False
2013-09-15,26,False
2013-09-22,33,False
2013-09-29,29,False
2013-10-06,33,False
2013-10-13,36,False
2013-10-20,24,False
2013-10-27,29,False
2013-11-03,48,False
2013-11-10,22,False
2013-11-17,25,False
2013-11-24,29,False
2013-12-01,16,False
2013-12-08,29,False
2013-12-15,23,False
2013-12-22,27,False
2013-12-29,28,False
2014-01-05,81,False
2014-01-12,37,False
2014-01-19,27,False
2014-01-26,27,False
2014-02-02,19,False
2014-02-09,41,False
2014-02-16,30,False
2014-02-23,26,False
2014-03-02,27,False
2014-03-09,30,False
2014-03-16,39,False
2014-03-23,27,False
2014-03-30,27,False
2014-04-06,30,False
2014-04-13,16,False
2014-04-20,31,False
2014-04-27,42,False
2014-05-04,36,False
2014-05-11,22,False
2014-05-18,35,False
2014-05-25,29,False
2014-06-01,61,False
2014-06-08,30,False
2014-06-15,34,False
2014-06-22,37,False
2014-06-29,38,False
2014-07-06,34,False
2014-07-13,31,False
2014-07-20,31,False
2014-07-27,23,False
2014-08-03,36,False
2014-08-10,27,False
2014-08-17,34,False
2014-08-24,23,False
2014-08-31,64,False
2014-09-07,32,False
2014-09-14,20,False
2014-09-21,32,False
2014-09-28,32,False
2014-10-05,19,False
2014-10-12,50,False
2014-10-19,52,False
2014-10-26,34,False
2014-11-02,28,False
2014-11-09,40,False
2014-11-16,22,False
2014-11-23,33,False
2014-11-30,30,False
2014-12-07,38,False
2014-12-14,41,False
2014-12-21,17,False
2014-12-28,23,False
2015-01-04,26,False
2015-01-11,41,False
2015-01-18,29,False
2015-01-25,37,False
2015-02-01,34,False
2015-02-08,35,False
2015-02-15,18,False
2015-02-22,43,False
2015-03-01,28,False
2015-03-08,20,False
2015-03-15,48,False
2015-03-22,46,False
2015-03-29,38,False
2015-04-05,41,False
2015-04-12,17,False
2015-04-19,23,False
2015-04-26,33,False
2015-05-03,46,False
2015-05-10,39,False
2015-05-17,23,False
2015-05-24,49,False
2015-05-31,32,False
2015-06-07,22,False
2015-06-14,40,False
2015-06-21,49,False
2015-06-28,47,False
2015-07-05,29,False
2015-07-12,20,False
2015-07-19,35,False
2015-07-26,23,False
2015-08-02,20,False
2015-08-09,32,False
2015-08-16,34,False
2015-08-23,15,False
2015-08-30,47,False
2015-09-06,19,False
2015-09-13,41,False
2015-09-20,41,False
2015-09-27,32,False
2015-10-04,37,False
2015-10-11,21,False
2015-10-18,26,False
2015-10-25,45,False
2015-11-01,21,False
2015-11-08,56,False
2015-11-15,29,False
2015-11-22,26,False
2015-11-29,32,False
2015-12-06,26,False
2015-12-13,52,False
2015-12-20,36,False
2015-12-27,51,False
2016-01-03,28,False
2016-01-10,49,False
2016-01-17,39,False
2016-01-24,28,False
2016-01-31,31,False
2016-02-07,47,False
2016-02-14,48,False
2016-02-21,41,False
2016-02-28,40,False
2016-03-06,46,False
2016-03-13,33,False
2016-03-20,48,False
2016-03-27,28,False
2016-04-03,44,False
2016-04-10,28,False
2016-04-17,61,False
2016-04-24,52,False
2016-05-01,48,False
2016-05-08,58,False
2016-05-15,52,False
2016-05-22,50,False
2016-05-29,31,False
2016-06-05,39,False
2016-06-12,42,False
2016-06-19,97,False
2016-06-26,100,False
2016-07-03,30,False
2016-07-10,26,False
2016-07-17,37,False
2016-07-24,30,False
2016-07-31,33,False
2016-08-07,52,False
2016-08-14,31,False
2016-08-21,30,False
2016-08-28,52,False
2016-09-04,46,False
2016-09-11,29,False
2016-09-18,37,False
2016-09-25,25,False
2016-10-02,39,False
2016-10-09,43,False
2016-10-16,36,False
2016-10-23,48,False
2016-10-30,25,False
2016-11-06,30,False
2016-11-13,25,False
2016-11-20,41,False
2016-11-27,61,False
2016-12-04,42,False
2016-12-11,48,False
2016-12-18,43,False
2016-12-25,70,False
2017-01-01,33,False
2017-01-08,26,False
2017-01-15,44,False
2017-01-22,44,False
2017-01-29,36,False
2017-02-05,54,False
2017-02-12,48,False
2017-02-19,49,False
2017-02-26,35,False
2017-03-05,35,False
2017-03-12,31,False
2017-03-19,43,False
2017-03-26,28,False
2017-04-02,62,False
2017-04-09,56,False
2017-04-16,33,False
2017-04-23,25,False
2017-04-30,39,False
2017-05-07,20,False
2017-05-14,59,False
2017-05-21,36,False
2017-05-28,44,False
2017-06-04,32,False
2017-06-11,27,False
2017-06-18,29,False
2017-06-25,28,False
2017-07-02,39,False
2017-07-09,45,False
2017-07-16,35,False
2017-07-23,25,False
2017-07-30,15,False
2017-08-06,29,False
2017-08-13,21,False
2017-08-20,32,False
2017-08-27,24,False
2017-09-03,29,False
2017-09-10,48,False
2017-09-17,21,False
2017-09-24,23,False
2017-10-01,23,False
2017-10-08,26,False
2017-10-15,31,False
2017-10-22,23,False
2017-10-29,15,False
2017-11-05,45,False
2017-11-12,27,False
2017-11-19,35,False
2017-11-26,28,False
2017-12-03,50,False
2017-12-10,33,False
2017-12-17,37,False
2017-12-24,22,False
2017-12-31,24,True
